Subtotal Area	MARIA ELENA EVANGELISTA	PANG LY	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	143,614	80,800	503,899	275,013	0	138	50,092	224,783	369
All Precincts - Election Day	44,516	18,162	101,053	78,221	0	22	15,152	63,047	369
All Precincts - Vote By Mail	99,098	62,638	402,846	196,792	0	116	34,940	161,736	0
Precinct 1101 - Vote By Mail	119	72	448	214	0	0	23	191	0
Precinct 1101 - Election Day	42	7	114	60	0	0	11	49	0
Precinct 1101	161	79	562	274	0	0	34	240	0
Precinct 1102 - Vote By Mail	230	101	774	368	0	0	37	331	0
Precinct 1102 - Election Day	104	34	230	159	0	0	21	138	0
Precinct 1102	334	135	1,004	527	0	0	58	469	0
Precinct 1103 - Vote By Mail	213	125	749	371	0	0	33	338	0
Precinct 1103 - Election Day	95	33	222	142	0	0	14	128	0
Precinct 1103	308	158	971	513	0	0	47	466	0
Precinct 1104/1105 - Vote By Mail	230	74	751	343	0	0	39	304	0
Precinct 1104/1105 - Election Day	86	20	267	120	0	0	13	107	1
Precinct 1104/1105	316	94	1,018	463	0	0	52	411	1
Precinct 1106 - Vote By Mail	119	96	598	255	0	0	40	215	0
Precinct 1106 - Election Day	55	25	173	96	0	0	15	81	1
Precinct 1106	174	121	771	351	0	0	55	296	1
Precinct 1107 - Vote By Mail	147	93	612	287	0	0	47	240	0
Precinct 1107 - Election Day	50	18	139	76	0	0	8	68	0
Precinct 1107	197	111	751	363	0	0	55	308	0
Precinct 1108 - Vote By Mail	205	113	725	360	0	0	42	318	0
Precinct 1108 - Election Day	75	15	198	115	0	0	25	90	0
Precinct 1108	280	128	923	475	0	0	67	408	0
Precinct 1109 - Vote By Mail	158	99	653	284	0	0	27	257	0
Precinct 1109 - Election Day	57	18	169	97	0	0	19	78	3
Precinct 1109	215	117	822	381	0	0	46	335	3
Precinct 1111 - Vote By Mail	190	120	849	354	0	0	44	310	0
Precinct 1111 - Election Day	81	23	197	118	0	0	13	105	1
Precinct 1111	271	143	1,046	472	0	0	57	415	1
