Subtotal Area	DOROTHY CHOU PROUDFOOT	MICHELLE TONG	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	97,680	127,595	503,899	281,773	0	255	55,833	225,685	410
All Precincts - Election Day	25,872	39,848	101,053	84,584	0	39	18,415	66,130	410
All Precincts - Vote By Mail	71,808	87,747	402,846	197,189	0	216	37,418	159,555	0
Precinct 1101 - Vote By Mail	83	114	448	215	0	0	18	197	0
Precinct 1101 - Election Day	24	29	114	61	0	0	8	53	0
Precinct 1101	107	143	562	276	0	0	26	250	0
Precinct 1102 - Vote By Mail	154	162	774	369	0	1	52	316	0
Precinct 1102 - Election Day	46	83	230	162	0	0	32	130	1
Precinct 1102	200	245	1,004	531	0	1	84	446	1
Precinct 1103 - Vote By Mail	146	188	749	371	0	0	37	334	0
Precinct 1103 - Election Day	56	68	222	144	0	1	19	124	0
Precinct 1103	202	256	971	515	0	1	56	458	0
Precinct 1104/1105 - Vote By Mail	104	193	751	343	0	0	46	297	0
Precinct 1104/1105 - Election Day	33	64	267	122	0	0	24	98	1
Precinct 1104/1105	137	257	1,018	465	0	0	70	395	1
Precinct 1106 - Vote By Mail	84	122	598	255	0	0	49	206	0
Precinct 1106 - Election Day	38	46	173	97	0	0	12	85	1
Precinct 1106	122	168	771	352	0	0	61	291	1
Precinct 1107 - Vote By Mail	103	134	612	287	0	0	50	237	0
Precinct 1107 - Election Day	22	43	139	76	0	0	11	65	0
Precinct 1107	125	177	751	363	0	0	61	302	0
Precinct 1108 - Vote By Mail	151	159	725	360	0	0	50	310	0
Precinct 1108 - Election Day	30	62	198	116	0	0	24	92	0
Precinct 1108	181	221	923	476	0	0	74	402	0
Precinct 1109 - Vote By Mail	101	152	653	284	0	0	31	253	0
Precinct 1109 - Election Day	32	43	169	99	0	0	21	78	3
Precinct 1109	133	195	822	383	0	0	52	331	3
Precinct 1111 - Vote By Mail	138	160	849	354	0	2	54	298	0
Precinct 1111 - Election Day	34	67	197	118	0	0	16	102	1
Precinct 1111	172	227	1,046	472	0	2	70	400	1
Precinct 1112 - Vote By Mail	88	155	643	278	0	4	31	243	0
Precinct 1112 - Election Day	15	50	159	79	0	0	13	66	1
Precinct 1112	103	205	802	357	0	4	44	309	1
Precinct 1113 - Vote By Mail	104	130	675	286	0	1	51	234	0
Precinct 1113 - Election Day	13	43	120	65	0	0	9	56	0
Precinct 1113	117	173	795	351	0	1	60	290	0
Precinct 1114 - Vote By Mail	122	169	769	328	0	1	36	291	0
Precinct 1114 - Election Day	24	53	222	98	0	0	21	77	0
Precinct 1114	146	222	991	426	0	1	57	368	0
Precinct 1115 - Vote By Mail	97	157	743	295	0	0	41	254	0
Precinct 1115 - Election Day	34	41	193	89	0	0	12	77	2
Precinct 1115	131	198	936	384	0	0	53	331	2
Precinct 1116 - Vote By Mail	128	134	715	308	0	0	46	262	0
Precinct 1116 - Election Day	39	58	216	119	0	0	22	97	0
Precinct 1116	167	192	931	427	0	0	68	359	0
Precinct 1117 - Vote By Mail	76	142	665	258	0	0	40	218	0
Precinct 1117 - Election Day	17	42	181	72	0	0	13	59	0
Precinct 1117	93	184	846	330	0	0	53	277	0
Precinct 1118 - Vote By Mail	149	164	846	357	0	0	44	313	0
Precinct 1118 - Election Day	34	53	219	106	0	0	19	87	0
Precinct 1118	183	217	1,065	463	0	0	63	400	0
Precinct 1119 - Vote By Mail	113	149	659	303	0	0	41	262	0
Precinct 1119 - Election Day	22	43	138	75	0	0	10	65	0
Precinct 1119	135	192	797	378	0	0	51	327	0
Precinct 1121 - Vote By Mail	108	110	556	268	0	2	48	218	0
Precinct 1121 - Election Day	30	44	149	87	0	0	10	77	3
Precinct 1121	138	154	705	355	0	2	58	295	3
Precinct 1122 - Vote By Mail	98	114	519	245	0	0	33	212	0
Precinct 1122 - Election Day	25	33	118	71	0	0	12	59	1
Precinct 1122	123	147	637	316	0	0	45	271	1
Precinct 1123 - Vote By Mail	84	139	730	257	0	0	34	223	0
Precinct 1123 - Election Day	20	56	208	89	0	0	12	77	1
Precinct 1123	104	195	938	346	0	0	46	300	1
Precinct 1124 - Vote By Mail	99	116	630	246	0	1	30	215	0
Precinct 1124 - Election Day	22	48	199	76	0	0	6	70	0
Precinct 1124	121	164	829	322	0	1	36	285	0
Precinct 1125 - Vote By Mail	161	165	919	364	0	1	37	326	0
Precinct 1125 - Election Day	24	32	178	68	0	1	10	57	1
Precinct 1125	185	197	1,097	432	0	2	47	383	1
Precinct 1126 - Vote By Mail	130	145	812	308	0	1	32	275	0
Precinct 1126 - Election Day	26	37	200	68	0	0	4	64	1
Precinct 1126	156	182	1,012	376	0	1	36	339	1
Precinct 1127 - Vote By Mail	120	138	743	293	0	0	35	258	0
Precinct 1127 - Election Day	35	49	222	101	0	0	17	84	0
Precinct 1127	155	187	965	394	0	0	52	342	0
Precinct 1128 - Vote By Mail	107	141	734	287	0	0	39	248	0
Precinct 1128 - Election Day	12	37	145	59	0	0	10	49	0
Precinct 1128	119	178	879	346	0	0	49	297	0
Precinct 1129 - Vote By Mail	128	154	790	314	0	0	32	282	0
Precinct 1129 - Election Day	23	63	246	109	0	0	20	89	3
Precinct 1129	151	217	1,036	423	0	0	52	371	3
Precinct 1131 - Vote By Mail	121	119	694	280	0	0	40	240	0
Precinct 1131 - Election Day	24	28	166	61	0	0	9	52	0
Precinct 1131	145	147	860	341	0	0	49	292	0
Precinct 1132 - Vote By Mail	130	178	839	370	0	2	60	308	0
Precinct 1132 - Election Day	22	30	193	60	0	0	8	52	0
Precinct 1132	152	208	1,032	430	0	2	68	360	0
Precinct 1133 - Vote By Mail	108	164	716	334	0	0	62	272	0
Precinct 1133 - Election Day	36	22	159	74	0	0	15	59	1
Precinct 1133	144	186	875	408	0	0	77	331	1
Precinct 1134 - Vote By Mail	115	136	585	293	0	2	40	251	0
Precinct 1134 - Election Day	17	50	182	80	0	0	11	69	2
Precinct 1134	132	186	767	373	0	2	51	320	2
Precinct 1135 - Vote By Mail	77	111	465	218	0	1	29	188	0
Precinct 1135 - Election Day	19	25	91	51	0	0	6	45	1
Precinct 1135	96	136	556	269	0	1	35	233	1
Precinct 1136 - Vote By Mail	128	166	710	340	0	2	44	294	0
Precinct 1136 - Election Day	31	34	157	79	0	0	12	67	2
Precinct 1136	159	200	867	419	0	2	56	361	2
Precinct 1141 - Vote By Mail	159	175	836	393	0	0	59	334	0
Precinct 1141 - Election Day	31	69	220	124	0	0	24	100	0
Precinct 1141	190	244	1,056	517	0	0	83	434	0
Precinct 1142 - Vote By Mail	92	165	721	324	0	0	67	257	0
Precinct 1142 - Election Day	21	53	175	87	0	0	13	74	0
Precinct 1142	113	218	896	411	0	0	80	331	0
Precinct 1143 - Vote By Mail	125	167	824	360	0	0	68	292	0
Precinct 1143 - Election Day	32	66	225	116	0	0	14	102	4
Precinct 1143	157	233	1,049	476	0	0	82	394	4
Precinct 1144 - Vote By Mail	96	190	727	326	0	2	38	286	0
Precinct 1144 - Election Day	31	62	220	121	0	0	28	93	0
Precinct 1144	127	252	947	447	0	2	66	379	0
Precinct 1145 - Vote By Mail	137	194	753	411	0	1	79	331	0
Precinct 1145 - Election Day	32	56	152	114	0	0	25	89	1
Precinct 1145	169	250	905	525	0	1	104	420	1
Precinct 1146 - Vote By Mail	108	206	839	364	0	0	50	314	0
Precinct 1146 - Election Day	31	65	215	110	0	0	13	97	1
Precinct 1146	139	271	1,054	474	0	0	63	411	1
Precinct 1147 - Vote By Mail	109	159	673	309	0	2	39	268	0
Precinct 1147 - Election Day	31	57	212	108	0	0	20	88	0
Precinct 1147	140	216	885	417	0	2	59	356	0
Precinct 1148 - Vote By Mail	141	173	804	368	0	1	53	314	0
Precinct 1148 - Election Day	39	58	224	119	0	0	21	98	1
Precinct 1148	180	231	1,028	487	0	1	74	412	1
Precinct 1149 - Vote By Mail	94	165	710	319	0	0	60	259	0
Precinct 1149 - Election Day	33	63	229	119	0	0	22	97	1
Precinct 1149	127	228	939	438	0	0	82	356	1
Precinct 1152 - Vote By Mail	111	152	710	313	0	1	49	263	0
Precinct 1152 - Election Day	28	44	180	87	0	0	15	72	0
Precinct 1152	139	196	890	400	0	1	64	335	0
Precinct 1153 - Vote By Mail	97	141	730	285	0	1	46	238	0
Precinct 1153 - Election Day	38	55	210	117	0	0	24	93	0
Precinct 1153	135	196	940	402	0	1	70	331	0
Precinct 7001 - Vote By Mail	112	147	632	329	0	0	70	259	0
Precinct 7001 - Election Day	15	65	141	105	0	0	24	81	1
Precinct 7001	127	212	773	434	0	0	94	340	1
Precinct 7002 - Vote By Mail	78	126	598	267	0	0	63	204	0
Precinct 7002 - Election Day	28	49	116	90	0	0	13	77	0
Precinct 7002	106	175	714	357	0	0	76	281	0
Precinct 7003 - Vote By Mail	158	187	759	432	0	0	87	345	0
Precinct 7003 - Election Day	50	65	147	144	0	0	28	116	1
Precinct 7003	208	252	906	576	0	0	115	461	1
Precinct 7004 - Vote By Mail	143	184	764	416	0	0	89	327	0
Precinct 7004 - Election Day	50	54	149	146	0	0	41	105	1
Precinct 7004	193	238	913	562	0	0	130	432	1
Precinct 7005 - Vote By Mail	137	169	698	350	0	1	43	306	0
Precinct 7005 - Election Day	50	77	161	163	0	0	36	127	0
Precinct 7005	187	246	859	513	0	1	79	433	0
Precinct 7006 - Vote By Mail	111	186	729	360	0	1	62	297	0
Precinct 7006 - Election Day	33	90	203	153	0	0	30	123	0
Precinct 7006	144	276	932	513	0	1	92	420	0
Precinct 7007 - Vote By Mail	152	204	777	437	0	0	81	356	0
Precinct 7007 - Election Day	55	85	180	174	0	0	34	140	0
Precinct 7007	207	289	957	611	0	0	115	496	0
Precinct 7008 - Vote By Mail	124	155	732	367	0	0	88	279	0
Precinct 7008 - Election Day	42	110	177	194	0	0	40	154	2
Precinct 7008	166	265	909	561	0	0	128	433	2
Precinct 7009 - Vote By Mail	126	191	752	390	0	0	73	317	0
Precinct 7009 - Election Day	29	48	119	95	0	0	18	77	0
Precinct 7009	155	239	871	485	0	0	91	394	0
Precinct 7011 - Vote By Mail	80	108	704	231	0	0	43	188	0
Precinct 7011 - Election Day	31	47	269	88	0	0	10	78	0
Precinct 7011	111	155	973	319	0	0	53	266	0
Precinct 7012 - Vote By Mail	162	236	999	487	0	1	88	398	0
Precinct 7012 - Election Day	60	112	227	209	0	0	35	174	2
Precinct 7012	222	348	1,226	696	0	1	123	572	2
Precinct 7013 - Vote By Mail	147	193	984	427	0	0	87	340	0
Precinct 7013 - Election Day	36	78	155	157	0	0	43	114	0
Precinct 7013	183	271	1,139	584	0	0	130	454	0
Precinct 7014 - Vote By Mail	116	122	610	303	0	0	65	238	0
Precinct 7014 - Election Day	26	55	109	115	0	0	33	82	1
Precinct 7014	142	177	719	418	0	0	98	320	1
Precinct 7015 MB - Vote By Mail	14	22	128	40	0	0	4	36	0
Precinct 7015 MB - Election Day	0	0	-18	0	0	0	0	0	0
Precinct 7015 MB	14	22	110	40	0	0	4	36	0
Precinct 7016 - Vote By Mail	96	88	655	239	0	1	54	184	0
Precinct 7016 - Election Day	19	46	277	79	0	0	13	66	1
Precinct 7016	115	134	932	318	0	1	67	250	1
Precinct 7017 - Vote By Mail	67	80	543	180	0	0	33	147	0
Precinct 7017 - Election Day	13	22	238	53	0	0	18	35	0
Precinct 7017	80	102	781	233	0	0	51	182	0
Precinct 7018 - Vote By Mail	140	145	847	357	0	0	72	285	0
Precinct 7018 - Election Day	12	36	200	56	0	0	8	48	0
Precinct 7018	152	181	1,047	413	0	0	80	333	0
Precinct 7019 - Vote By Mail	127	168	734	355	0	0	60	295	0
Precinct 7019 - Election Day	21	35	166	74	0	0	18	56	0
Precinct 7019	148	203	900	429	0	0	78	351	0
Precinct 7021 - Vote By Mail	92	133	679	271	0	0	46	225	0
Precinct 7021 - Election Day	22	62	288	108	0	0	23	85	1
Precinct 7021	114	195	967	379	0	0	69	310	1
Precinct 7022 - Vote By Mail	107	151	770	312	0	0	54	258	0
Precinct 7022 - Election Day	23	27	193	55	0	1	4	50	0
Precinct 7022	130	178	963	367	0	1	58	308	0
Precinct 7023 - Vote By Mail	128	147	687	331	0	0	56	275	0
Precinct 7023 - Election Day	28	35	233	72	0	0	8	64	1
Precinct 7023	156	182	920	403	0	0	64	339	1
Precinct 7024 - Vote By Mail	13	33	251	50	0	0	4	46	0
Precinct 7024 - Election Day	9	2	190	20	0	0	8	12	1
Precinct 7024	22	35	441	70	0	0	12	58	1
Precinct 7025 - Vote By Mail	36	45	316	95	0	0	14	81	0
Precinct 7025 - Election Day	10	18	167	39	0	0	9	30	2
Precinct 7025	46	63	483	134	0	0	23	111	2
Precinct 7026 - Vote By Mail	118	171	819	336	0	1	46	289	0
Precinct 7026 - Election Day	23	36	191	72	0	0	11	61	2
Precinct 7026	141	207	1,010	408	0	1	57	350	2
Precinct 7027 - Vote By Mail	71	157	677	270	0	0	42	228	0
Precinct 7027 - Election Day	27	52	219	99	0	0	18	81	2
Precinct 7027	98	209	896	369	0	0	60	309	2
Precinct 7028 - Vote By Mail	82	104	585	220	0	0	34	186	0
Precinct 7028 - Election Day	27	50	271	100	0	0	23	77	0
Precinct 7028	109	154	856	320	0	0	57	263	0
Precinct 7029 - Vote By Mail	57	108	642	209	0	0	44	165	0
Precinct 7029 - Election Day	10	20	267	40	0	0	8	32	2
Precinct 7029	67	128	909	249	0	0	52	197	2
Precinct 7030 - Vote By Mail	96	139	654	274	0	1	38	235	0
Precinct 7030 - Election Day	26	24	141	59	0	0	7	52	2
Precinct 7030	122	163	795	333	0	1	45	287	2
Precinct 7031 - Vote By Mail	99	113	622	263	0	1	50	212	0
Precinct 7031 - Election Day	12	25	72	49	0	0	12	37	0
Precinct 7031	111	138	694	312	0	1	62	249	0
Precinct 7032 - Vote By Mail	91	126	643	266	0	3	46	217	0
Precinct 7032 - Election Day	18	25	238	54	0	0	10	44	1
Precinct 7032	109	151	881	320	0	3	56	261	1
Precinct 7033 - Vote By Mail	73	110	549	214	0	0	31	183	0
Precinct 7033 - Election Day	29	43	229	86	0	0	14	72	0
Precinct 7033	102	153	778	300	0	0	45	255	0
Precinct 7034 - Vote By Mail	40	72	620	142	0	1	29	112	0
Precinct 7034 - Election Day	16	31	318	60	0	0	13	47	0
Precinct 7034	56	103	938	202	0	1	42	159	0
Precinct 7035 - Vote By Mail	96	116	567	237	0	1	24	212	0
Precinct 7035 - Election Day	16	25	152	54	0	0	13	41	0
Precinct 7035	112	141	719	291	0	1	37	253	0
Precinct 7036 - Vote By Mail	108	112	781	263	0	0	43	220	0
Precinct 7036 - Election Day	12	25	193	39	0	0	2	37	0
Precinct 7036	120	137	974	302	0	0	45	257	0
Precinct 7037 - Vote By Mail	24	29	434	63	0	2	8	53	0
Precinct 7037 - Election Day	11	15	312	38	0	0	12	26	0
Precinct 7037	35	44	746	101	0	2	20	79	0
Precinct 7038 - Vote By Mail	96	137	758	308	0	2	73	233	0
Precinct 7038 - Election Day	17	30	203	60	0	0	12	48	1
Precinct 7038	113	167	961	368	0	2	85	281	1
Precinct 7039 - Vote By Mail	75	115	636	243	0	0	53	190	0
Precinct 7039 - Election Day	39	46	201	104	0	0	18	86	1
Precinct 7039	114	161	837	347	0	0	71	276	1
Precinct 7041 MB - Vote By Mail	12	11	70	29	0	0	6	23	0
Precinct 7041 MB - Election Day	0	0	-4	0	0	0	0	0	0
Precinct 7041 MB	12	11	66	29	0	0	6	23	0
Precinct 7042 - Vote By Mail	69	114	514	222	0	0	39	183	0
Precinct 7042 - Election Day	16	37	146	62	0	0	9	53	0
Precinct 7042	85	151	660	284	0	0	48	236	0
Precinct 7043 - Vote By Mail	112	138	754	295	0	0	45	250	0
Precinct 7043 - Election Day	20	45	224	79	0	0	14	65	0
Precinct 7043	132	183	978	374	0	0	59	315	0
Precinct 7044 - Vote By Mail	59	75	586	149	0	1	14	134	0
Precinct 7044 - Election Day	7	18	266	36	0	0	10	26	1
Precinct 7044	66	93	852	185	0	1	24	160	1
Precinct 7045 - Vote By Mail	95	124	632	267	0	0	48	219	0
Precinct 7045 - Election Day	15	23	154	53	0	0	15	38	0
Precinct 7045	110	147	786	320	0	0	63	257	0
Precinct 7046 - Vote By Mail	55	55	334	132	0	0	22	110	0
Precinct 7046 - Election Day	12	27	96	48	0	0	8	40	1
Precinct 7046	67	82	430	180	0	0	30	150	1
Precinct 7047 - Vote By Mail	109	150	733	315	0	1	55	259	0
Precinct 7047 - Election Day	18	26	150	62	0	0	17	45	1
Precinct 7047	127	176	883	377	0	1	72	304	1
Precinct 7048 - Vote By Mail	90	129	685	267	0	0	48	219	0
Precinct 7048 - Election Day	14	29	196	59	0	0	16	43	0
Precinct 7048	104	158	881	326	0	0	64	262	0
Precinct 7049 - Vote By Mail	85	118	616	247	0	0	44	203	0
Precinct 7049 - Election Day	23	31	210	71	0	0	16	55	1
Precinct 7049	108	149	826	318	0	0	60	258	1
Precinct 7051 - Vote By Mail	105	130	715	306	0	1	70	235	0
Precinct 7051 - Election Day	16	39	165	70	0	0	14	56	1
Precinct 7051	121	169	880	376	0	1	84	291	1
Precinct 7052 - Vote By Mail	101	149	722	296	0	0	46	250	0
Precinct 7052 - Election Day	28	43	184	88	0	0	17	71	0
Precinct 7052	129	192	906	384	0	0	63	321	0
Precinct 7053 - Vote By Mail	90	91	542	227	0	0	46	181	0
Precinct 7053 - Election Day	15	17	43	42	0	0	10	32	0
