Subtotal Area	KULVINDAR "RANI" SINGH	CAROLYN GOLD	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	118,998	121,008	503,899	304,904	0	128	64,437	240,339	333
All Precincts - Election Day	35,666	45,355	101,264	107,001	0	41	25,606	81,354	333
All Precincts - Vote By Mail	83,332	75,653	402,635	197,903	0	87	38,831	158,985	0
Precinct 1101 - Vote By Mail	101	93	448	216	0	0	22	194	0
Precinct 1101 - Election Day	35	38	114	93	0	0	20	73	0
Precinct 1101	136	131	562	309	0	0	42	267	0
Precinct 1102 - Vote By Mail	177	139	774	370	0	0	54	316	0
Precinct 1102 - Election Day	74	98	230	209	0	0	37	172	0
Precinct 1102	251	237	1,004	579	0	0	91	488	0
Precinct 1103 - Vote By Mail	171	156	749	373	0	0	46	327	0
Precinct 1103 - Election Day	74	84	222	194	0	0	36	158	0
Precinct 1103	245	240	971	567	0	0	82	485	0
Precinct 1104/1105 - Vote By Mail	127	160	751	343	0	0	56	287	0
Precinct 1104/1105 - Election Day	56	82	267	169	0	0	31	138	0
Precinct 1104/1105	183	242	1,018	512	0	0	87	425	0
Precinct 1106 - Vote By Mail	110	90	598	255	0	1	54	200	0
Precinct 1106 - Election Day	54	64	173	149	0	0	31	118	0
Precinct 1106	164	154	771	404	0	1	85	318	0
Precinct 1107 - Vote By Mail	129	105	612	288	0	0	54	234	0
Precinct 1107 - Election Day	52	51	139	125	0	0	22	103	0
Precinct 1107	181	156	751	413	0	0	76	337	0
Precinct 1108 - Vote By Mail	153	149	725	360	0	0	58	302	0
Precinct 1108 - Election Day	59	64	198	159	0	0	36	123	0
Precinct 1108	212	213	923	519	0	0	94	425	0
Precinct 1109 - Vote By Mail	132	122	653	285	0	0	31	254	0
Precinct 1109 - Election Day	45	60	169	141	0	0	36	105	0
Precinct 1109	177	182	822	426	0	0	67	359	0
Precinct 1111 - Vote By Mail	167	124	849	354	0	1	62	291	0
Precinct 1111 - Election Day	61	92	197	189	0	1	35	153	0
Precinct 1111	228	216	1,046	543	0	2	97	444	0
Precinct 1112 - Vote By Mail	129	107	643	280	0	1	43	236	0
Precinct 1112 - Election Day	31	64	159	119	0	0	24	95	0
Precinct 1112	160	171	802	399	0	1	67	331	0
Precinct 1113 - Vote By Mail	106	116	675	286	0	1	63	222	0
Precinct 1113 - Election Day	29	58	120	108	0	0	21	87	0
Precinct 1113	135	174	795	394	0	1	84	309	0
Precinct 1114 - Vote By Mail	129	157	769	328	0	1	41	286	0
Precinct 1114 - Election Day	55	76	222	167	0	0	36	131	0
Precinct 1114	184	233	991	495	0	1	77	417	0
Precinct 1115 - Vote By Mail	123	125	743	295	0	0	47	248	0
Precinct 1115 - Election Day	40	65	193	131	0	0	26	105	0
Precinct 1115	163	190	936	426	0	0	73	353	0
Precinct 1116 - Vote By Mail	131	118	715	309	0	0	60	249	0
Precinct 1116 - Election Day	65	95	216	197	0	1	36	160	0
Precinct 1116	196	213	931	506	0	1	96	409	0
Precinct 1117 - Vote By Mail	92	123	665	259	0	0	44	215	0
Precinct 1117 - Election Day	41	82	181	152	0	0	29	123	0
Precinct 1117	133	205	846	411	0	0	73	338	0
Precinct 1118 - Vote By Mail	171	140	846	366	0	0	55	311	0
Precinct 1118 - Election Day	57	76	219	164	0	0	31	133	0
Precinct 1118	228	216	1,065	530	0	0	86	444	0
Precinct 1119 - Vote By Mail	128	125	659	305	0	0	52	253	0
Precinct 1119 - Election Day	36	57	138	117	0	0	24	93	0
Precinct 1119	164	182	797	422	0	0	76	346	0
Precinct 1121 - Vote By Mail	139	81	556	269	0	0	49	220	0
Precinct 1121 - Election Day	47	57	149	123	0	1	18	104	0
Precinct 1121	186	138	705	392	0	1	67	324	0
Precinct 1122 - Vote By Mail	111	91	519	247	0	0	45	202	0
Precinct 1122 - Election Day	42	32	118	97	0	0	23	74	0
Precinct 1122	153	123	637	344	0	0	68	276	0
Precinct 1123 - Vote By Mail	111	103	730	258	0	0	44	214	0
Precinct 1123 - Election Day	44	79	208	151	0	0	28	123	0
Precinct 1123	155	182	938	409	0	0	72	337	0
Precinct 1124 - Vote By Mail	111	101	631	246	0	0	34	212	0
Precinct 1124 - Election Day	44	69	198	125	0	0	12	113	0
Precinct 1124	155	170	829	371	0	0	46	325	0
Precinct 1125 - Vote By Mail	193	136	919	365	0	0	36	329	0
Precinct 1125 - Election Day	35	57	178	115	0	1	22	92	0
Precinct 1125	228	193	1,097	480	0	1	58	421	0
Precinct 1126 - Vote By Mail	136	138	812	308	0	0	34	274	0
Precinct 1126 - Election Day	41	54	200	108	0	0	13	95	0
Precinct 1126	177	192	1,012	416	0	0	47	369	0
Precinct 1127 - Vote By Mail	144	104	743	295	0	0	47	248	0
Precinct 1127 - Election Day	52	63	222	148	0	0	33	115	0
Precinct 1127	196	167	965	443	0	0	80	363	0
Precinct 1128 - Vote By Mail	118	125	734	287	0	0	44	243	0
Precinct 1128 - Election Day	41	44	145	108	0	0	23	85	0
Precinct 1128	159	169	879	395	0	0	67	328	0
Precinct 1129 - Vote By Mail	147	135	790	314	0	0	32	282	0
Precinct 1129 - Election Day	41	80	246	146	0	0	25	121	0
Precinct 1129	188	215	1,036	460	0	0	57	403	0
Precinct 1131 - Vote By Mail	149	88	694	280	0	0	43	237	0
Precinct 1131 - Election Day	41	47	166	111	0	0	23	88	0
Precinct 1131	190	135	860	391	0	0	66	325	0
Precinct 1132 - Vote By Mail	154	148	838	370	0	0	68	302	0
Precinct 1132 - Election Day	39	43	194	103	0	0	21	82	0
Precinct 1132	193	191	1,032	473	0	0	89	384	0
Precinct 1133 - Vote By Mail	142	131	716	336	0	0	63	273	0
Precinct 1133 - Election Day	53	35	159	113	0	0	25	88	0
Precinct 1133	195	166	875	449	0	0	88	361	0
Precinct 1134 - Vote By Mail	134	108	585	293	0	0	51	242	0
Precinct 1134 - Election Day	37	64	182	127	0	0	26	101	0
Precinct 1134	171	172	767	420	0	0	77	343	0
Precinct 1135 - Vote By Mail	89	93	465	220	0	1	37	182	0
Precinct 1135 - Election Day	24	29	91	61	0	0	8	53	0
Precinct 1135	113	122	556	281	0	1	45	235	0
Precinct 1136 - Vote By Mail	152	140	710	342	0	0	50	292	0
Precinct 1136 - Election Day	39	58	157	117	0	2	18	97	0
Precinct 1136	191	198	867	459	0	2	68	389	0
Precinct 1141 - Vote By Mail	176	142	836	394	0	1	75	318	0
Precinct 1141 - Election Day	56	95	220	185	0	0	34	151	0
Precinct 1141	232	237	1,056	579	0	1	109	469	0
Precinct 1142 - Vote By Mail	119	144	721	330	0	0	67	263	0
Precinct 1142 - Election Day	35	58	175	119	0	0	26	93	0
Precinct 1142	154	202	896	449	0	0	93	356	0
Precinct 1143 - Vote By Mail	144	145	824	360	0	0	71	289	0
Precinct 1143 - Election Day	54	93	225	189	0	0	42	147	0
Precinct 1143	198	238	1,049	549	0	0	113	436	0
Precinct 1144 - Vote By Mail	144	137	727	327	0	0	46	281	0
Precinct 1144 - Election Day	50	83	220	165	0	0	32	133	0
Precinct 1144	194	220	947	492	0	0	78	414	0
Precinct 1145 - Vote By Mail	148	179	753	411	0	0	84	327	0
Precinct 1145 - Election Day	37	81	152	152	0	0	34	118	0
Precinct 1145	185	260	905	563	0	0	118	445	0
Precinct 1146 - Vote By Mail	154	156	839	364	0	0	54	310	0
Precinct 1146 - Election Day	43	88	215	159	0	0	28	131	0
Precinct 1146	197	244	1,054	523	0	0	82	441	0
Precinct 1147 - Vote By Mail	125	149	673	310	0	0	36	274	0
Precinct 1147 - Election Day	44	82	212	159	0	0	33	126	0
Precinct 1147	169	231	885	469	0	0	69	400	0
Precinct 1148 - Vote By Mail	155	158	804	370	0	1	56	313	0
Precinct 1148 - Election Day	40	83	224	158	0	0	35	123	0
Precinct 1148	195	241	1,028	528	0	1	91	436	0
Precinct 1149 - Vote By Mail	120	137	710	320	0	0	63	257	0
Precinct 1149 - Election Day	50	85	229	161	0	0	26	135	0
Precinct 1149	170	222	939	481	0	0	89	392	0
Precinct 1151 MB - Vote By Mail	0	0	0	0	0	0	0	0	0
Precinct 1151 MB - Election Day	0	0	0	0	0	0	0	0	0
Precinct 1151 MB	0	0	0	0	0	0	0	0	0
Precinct 1152 - Vote By Mail	148	116	710	315	0	0	51	264	0
Precinct 1152 - Election Day	43	73	180	137	0	0	21	116	0
Precinct 1152	191	189	890	452	0	0	72	380	0
Precinct 1153 - Vote By Mail	124	102	730	285	0	1	58	226	0
Precinct 1153 - Election Day	67	65	210	181	0	0	49	132	0
Precinct 1153	191	167	940	466	0	1	107	358	0
Precinct 1154 MB - Vote By Mail	0	0	0	0	0	0	0	0	0
Precinct 1154 MB - Election Day	0	0	0	0	0	0	0	0	0
Precinct 1154 MB	0	0	0	0	0	0	0	0	0
Precinct 7001 - Vote By Mail	139	120	632	331	0	0	72	259	0
Precinct 7001 - Election Day	50	72	141	149	0	0	27	122	0
Precinct 7001	189	192	773	480	0	0	99	381	0
Precinct 7002 - Vote By Mail	104	106	598	270	0	0	60	210	0
Precinct 7002 - Election Day	41	69	116	142	0	0	32	110	0
Precinct 7002	145	175	714	412	0	0	92	320	0
Precinct 7003 - Vote By Mail	202	157	759	435	0	0	76	359	0
Precinct 7003 - Election Day	68	78	147	193	0	0	47	146	0
Precinct 7003	270	235	906	628	0	0	123	505	0
Precinct 7004 - Vote By Mail	181	147	764	418	0	0	90	328	0
Precinct 7004 - Election Day	91	57	149	225	0	0	77	148	0
Precinct 7004	272	204	913	643	0	0	167	476	0
Precinct 7005 - Vote By Mail	144	153	698	351	0	0	54	297	0
Precinct 7005 - Election Day	77	92	161	230	0	0	61	169	0
Precinct 7005	221	245	859	581	0	0	115	466	0
Precinct 7006 - Vote By Mail	119	179	729	361	0	1	62	298	0
Precinct 7006 - Election Day	58	125	203	240	0	0	57	183	0
Precinct 7006	177	304	932	601	0	1	119	481	0
Precinct 7007 - Vote By Mail	192	168	777	438	0	0	78	360	0
Precinct 7007 - Election Day	90	97	180	242	0	0	55	187	0
Precinct 7007	282	265	957	680	0	0	133	547	0
Precinct 7008 - Vote By Mail	159	120	732	369	0	0	90	279	0
Precinct 7008 - Election Day	80	109	177	254	0	0	65	189	0
Precinct 7008	239	229	909	623	0	0	155	468	0
Precinct 7009 - Vote By Mail	151	167	752	391	0	0	73	318	0
Precinct 7009 - Election Day	48	66	119	160	0	0	46	114	0
Precinct 7009	199	233	871	551	0	0	119	432	0
Precinct 7011 - Vote By Mail	94	92	704	231	0	0	45	186	0
Precinct 7011 - Election Day	54	59	269	142	0	0	29	113	0
Precinct 7011	148	151	973	373	0	0	74	299	0
Precinct 7012 - Vote By Mail	194	204	999	489	0	0	91	398	0
Precinct 7012 - Election Day	109	130	227	308	0	0	69	239	0
Precinct 7012	303	334	1,226	797	0	0	160	637	0
Precinct 7013 - Vote By Mail	177	165	984	431	0	0	89	342	0
Precinct 7013 - Election Day	78	97	155	259	0	0	84	175	0
Precinct 7013	255	262	1,139	690	0	0	173	517	0
Precinct 7014 - Vote By Mail	143	94	610	305	0	0	68	237	0
Precinct 7014 - Election Day	47	73	109	182	0	0	62	120	0
Precinct 7014	190	167	719	487	0	0	130	357	0
Precinct 7015 MB - Vote By Mail	5	33	110	41	0	0	3	38	0
Precinct 7015 MB - Election Day	1	3	0	5	0	0	1	4	0
Precinct 7015 MB	6	36	110	46	0	0	4	42	0
Precinct 7016 - Vote By Mail	80	104	655	239	0	0	55	184	0
Precinct 7016 - Election Day	31	69	277	124	0	0	24	100	0
Precinct 7016	111	173	932	363	0	0	79	284	0
Precinct 7017 - Vote By Mail	62	93	543	182	0	0	27	155	0
Precinct 7017 - Election Day	16	43	238	92	0	0	33	59	0
Precinct 7017	78	136	781	274	0	0	60	214	0
Precinct 7018 - Vote By Mail	163	126	847	358	0	1	68	289	0
Precinct 7018 - Election Day	30	49	200	103	0	0	24	79	0
Precinct 7018	193	175	1,047	461	0	1	92	368	0
Precinct 7019 - Vote By Mail	152	143	734	356	0	2	59	295	0
Precinct 7019 - Election Day	32	61	166	112	0	0	19	93	0
Precinct 7019	184	204	900	468	0	2	78	388	0
Precinct 7021 - Vote By Mail	83	128	679	271	0	0	60	211	0
Precinct 7021 - Election Day	26	96	288	159	0	0	37	122	0
Precinct 7021	109	224	967	430	0	0	97	333	0
Precinct 7022 - Vote By Mail	138	147	770	340	0	0	55	285	0
Precinct 7022 - Election Day	30	52	193	93	0	0	11	82	0
Precinct 7022	168	199	963	433	0	0	66	367	0
Precinct 7023 - Vote By Mail	147	133	687	331	0	0	51	280	0
Precinct 7023 - Election Day	30	69	233	118	0	0	19	99	0
Precinct 7023	177	202	920	449	0	0	70	379	0
Precinct 7024 - Vote By Mail	19	28	251	51	0	0	4	47	0
Precinct 7024 - Election Day	2	18	190	35	0	0	15	20	0
Precinct 7024	21	46	441	86	0	0	19	67	0
Precinct 7025 - Vote By Mail	33	49	316	97	0	0	15	82	0
Precinct 7025 - Election Day	20	35	167	66	0	0	11	55	0
Precinct 7025	53	84	483	163	0	0	26	137	0
Precinct 7026 - Vote By Mail	136	138	819	337	0	0	63	274	0
Precinct 7026 - Election Day	44	53	191	125	0	0	28	97	0
Precinct 7026	180	191	1,010	462	0	0	91	371	0
Precinct 7027 - Vote By Mail	111	109	677	272	0	0	52	220	0
Precinct 7027 - Election Day	42	70	219	143	0	0	31	112	0
Precinct 7027	153	179	896	415	0	0	83	332	0
Precinct 7028 - Vote By Mail	90	97	586	221	0	0	34	187	0
Precinct 7028 - Election Day	47	72	270	151	0	0	32	119	0
Precinct 7028	137	169	856	372	0	0	66	306	0
Precinct 7029 - Vote By Mail	54	106	643	209	0	0	49	160	0
Precinct 7029 - Election Day	22	36	266	82	0	0	24	58	0
Precinct 7029	76	142	909	291	0	0	73	218	0
Precinct 7030 - Vote By Mail	115	106	654	274	0	1	52	221	0
Precinct 7030 - Election Day	30	31	141	80	0	0	19	61	0
Precinct 7030	145	137	795	354	0	1	71	282	0
Precinct 7031 - Vote By Mail	86	128	622	265	0	0	51	214	0
Precinct 7031 - Election Day	26	33	72	78	0	0	19	59	0
Precinct 7031	112	161	694	343	0	0	70	273	0
Precinct 7032 - Vote By Mail	101	119	643	266	0	0	46	220	0
Precinct 7032 - Election Day	24	61	238	105	0	1	19	85	0
Precinct 7032	125	180	881	371	0	1	65	305	0
Precinct 7033 - Vote By Mail	80	105	549	214	0	0	29	185	0
Precinct 7033 - Election Day	37	71	229	136	0	0	28	108	0
Precinct 7033	117	176	778	350	0	0	57	293	0
Precinct 7034 - Vote By Mail	39	71	620	142	0	1	31	110	0
Precinct 7034 - Election Day	27	58	318	111	0	0	26	85	0
