Subtotal Area	KAT ANDERSON	NADIA RAHMAN	MANO RAJU	ABRA PAULINE CASTLE	QUEENA CHEN	CYN WANG	LEAH LACROIX	SUZY LOFTUS	LI MIAO LOVETT	JANICE LI	JANE NATOLI	AHSHA SAFAI	GORDON MAR	SEEYEW MO	FAAUUGA MOLIGA	PAUL MIYAMOTO	MARY JUNG	KEITH BARAKA	KELLY AKEMI GROTH	A. J. THOMAS	MAWULI TUGBENYOH	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	15,186	10,518	23,179	8,247	21,497	13,048	23,498	24,841	21,263	23,096	14,861	16,571	28,808	8,786	20,233	18,099	19,934	25,567	19,382	24,586	8,503	211,477	87,688	0	173	485,317	389,833	130
All Precincts - Election Day	5,120	3,345	7,643	2,942	7,109	3,792	7,182	7,886	6,976	7,060	4,337	5,027	9,044	2,384	6,746	5,226	5,834	8,308	6,380	8,178	2,290	41,408	31,797	0	37	194,661	122,939	130
All Precincts - Vote By Mail	10,066	7,173	15,536	5,305	14,388	9,256	16,316	16,955	14,287	16,036	10,524	11,544	19,764	6,402	13,487	12,873	14,100	17,259	13,002	16,408	6,213	170,069	55,891	0	136	290,656	266,894	0
Precinct 1101 - Vote By Mail	22	27	60	16	52	30	61	47	50	59	40	44	73	21	60	53	45	66	45	82	19	448	156	0	0	588	972	0
Precinct 1101 - Election Day	7	2	8	9	12	3	12	12	5	8	8	20	11	5	11	10	11	12	7	12	5	114	61	0	0	420	190	0
Precinct 1101	29	29	68	25	64	33	73	59	55	67	48	64	84	26	71	63	56	78	52	94	24	562	217	0	0	1,008	1,162	0
Precinct 1102 - Vote By Mail	45	28	89	30	67	27	97	82	72	73	49	98	94	19	79	65	59	96	76	93	34	774	258	0	0	1,208	1,372	0
Precinct 1102 - Election Day	17	12	49	18	46	11	50	48	40	44	15	59	51	7	49	31	24	54	34	54	10	230	162	0	1	887	723	0
Precinct 1102	62	40	138	48	113	38	147	130	112	117	64	157	145	26	128	96	83	150	110	147	44	1,004	420	0	1	2,095	2,095	0
Precinct 1103 - Vote By Mail	47	33	84	26	66	35	84	90	70	60	63	104	97	24	74	68	67	85	55	77	42	749	256	0	0	1,209	1,351	0
Precinct 1103 - Election Day	25	17	29	12	30	15	27	34	30	23	19	53	37	13	36	24	22	29	26	32	16	222	141	0	0	861	549	0
Precinct 1103	72	50	113	38	96	50	111	124	100	83	82	157	134	37	110	92	89	114	81	109	58	971	397	0	0	2,070	1,900	0
Precinct 1104/1105 - Vote By Mail	49	36	85	26	70	35	87	71	74	76	48	86	98	22	72	58	58	94	75	96	25	751	238	0	0	1,039	1,341	0
Precinct 1104/1105 - Election Day	27	13	41	19	36	17	39	27	41	32	17	37	52	8	38	21	26	49	39	49	9	267	130	0	1	653	637	0
Precinct 1104/1105	76	49	126	45	106	52	126	98	115	108	65	123	150	30	110	79	84	143	114	145	34	1,018	368	0	1	1,692	1,978	0
Precinct 1106 - Vote By Mail	21	14	54	12	58	21	63	56	61	63	25	58	74	19	47	46	47	53	43	69	14	598	169	0	0	772	918	0
Precinct 1106 - Election Day	17	9	25	14	21	14	19	27	27	20	11	29	25	6	26	22	18	31	18	29	5	173	112	0	0	706	414	1
Precinct 1106	38	23	79	26	79	35	82	83	88	83	36	87	99	25	73	68	65	84	61	98	19	771	281	0	0	1,478	1,332	1
Precinct 1107 - Vote By Mail	31	15	61	25	48	25	61	44	51	51	25	62	62	12	52	39	45	68	42	65	21	612	201	0	1	1,095	905	0
Precinct 1107 - Election Day	17	11	27	8	31	11	28	24	31	26	20	21	26	12	23	21	20	30	27	40	12	139	93	0	0	464	466	0
Precinct 1107	48	26	88	33	79	36	89	68	82	77	45	83	88	24	75	60	65	98	69	105	33	751	294	0	1	1,559	1,371	0
Precinct 1108 - Vote By Mail	52	37	72	44	71	45	92	80	65	69	57	87	92	32	66	58	76	91	63	96	35	725	255	0	1	1,160	1,380	0
Precinct 1108 - Election Day	18	9	22	12	16	8	24	23	20	20	12	25	25	5	22	15	23	33	20	33	10	198	108	0	0	685	395	0
Precinct 1108	70	46	94	56	87	53	116	103	85	89	69	112	117	37	88	73	99	124	83	129	45	923	363	0	1	1,845	1,775	0
Precinct 1109 - Vote By Mail	37	24	71	27	70	30	67	57	54	76	42	48	73	28	56	38	55	79	43	76	29	653	194	0	0	860	1,080	0
Precinct 1109 - Election Day	12	4	25	9	27	6	30	26	24	20	15	18	33	6	27	18	17	37	17	33	12	169	104	0	0	614	426	10
Precinct 1109	49	28	96	36	97	36	97	83	78	96	57	66	106	34	83	56	72	116	60	109	41	822	298	0	0	1,474	1,506	10
Precinct 1111 - Vote By Mail	38	22	66	25	60	30	75	62	76	66	33	60	93	22	68	50	57	85	57	85	19	849	221	0	1	1,051	1,149	0
Precinct 1111 - Election Day	25	16	42	12	47	19	39	26	46	37	22	33	42	13	44	25	26	48	44	50	10	197	146	0	0	794	666	0
Precinct 1111	63	38	108	37	107	49	114	88	122	103	55	93	135	35	112	75	83	133	101	135	29	1,046	367	0	1	1,845	1,815	0
Precinct 1112 - Vote By Mail	27	24	47	19	54	30	59	46	56	68	34	52	60	18	47	34	37	58	44	59	14	643	174	0	2	833	887	0
Precinct 1112 - Election Day	13	9	21	7	19	12	13	13	21	24	10	17	20	9	23	11	14	21	17	28	8	159	84	0	0	510	330	0
Precinct 1112	40	33	68	26	73	42	72	59	77	92	44	69	80	27	70	45	51	79	61	87	22	802	258	0	2	1,343	1,217	0
Precinct 1113 - Vote By Mail	30	23	58	20	59	40	46	47	48	62	32	48	67	21	40	48	47	51	39	49	25	675	170	0	1	790	900	0
Precinct 1113 - Election Day	9	7	21	4	25	6	19	14	22	23	8	20	26	4	20	10	13	21	24	27	3	120	79	0	0	464	326	0
Precinct 1113	39	30	79	24	84	46	65	61	70	85	40	68	93	25	60	58	60	72	63	76	28	795	249	0	1	1,254	1,226	0
