Subtotal Area	KRISTEN ASATO-WEBB	JOHN AVALOS	NIMA RAHIMI	HILLARY RONEN	DAVID CAMPOS	CHRISTOPHER CHRISTENSEN	MIKE CHEN	MATT HANEY	RICK HAUPTMAN	SHAUN HAINES	FRANCES HSIEH	AUSTIN HUNTER	SHAMANN WALTON	SHANELL WILLIAMS	TYRA FENNELL	KEVIN ORTIZ	VICTOR OLIVIERI	NOMVULA O'MEARA	WILLIAM (ANUBIS) DAUGHERTY	MICK DEL ROSARIO	BEVAN DUFTY	JANE KIM	HONEY MAHOGANY	RAFAEL MANDELMAN	SOPHIE MAXWELL	CAROLE MIGDEN	DAVID VILLA-LOBOS	BIVETT BRACKETT	TAMI BRYANT	VALLIE BROWN	GLORIA BERRY	STEVEN BUSS	PETER GALLOTTA	ANABELL IBÁÑEZ	NANCY TUNG	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	23,774	44,845	19,573	44,274	45,612	20,384	20,768	42,789	7,203	16,287	40,183	17,054	20,245	32,006	18,594	25,769	15,398	18,653	7,499	19,153	28,374	48,950	36,332	29,147	24,693	24,392	4,959	10,822	16,176	19,245	26,911	15,745	31,820	34,346	26,173	184,479	131,864	0	532	960,377	878,271	123
All Precincts - Election Day	7,719	15,962	5,534	14,928	15,683	7,123	6,133	14,074	2,599	5,810	13,142	4,845	6,036	10,622	5,884	9,191	4,730	6,679	2,438	5,457	9,044	16,412	11,649	8,818	7,796	8,223	1,978	3,099	5,204	5,781	9,073	4,418	10,522	11,683	7,549	37,664	46,807	0	92	368,049	285,961	123
All Precincts - Vote By Mail	16,055	28,883	14,039	29,346	29,929	13,261	14,635	28,715	4,604	10,477	27,041	12,209	14,209	21,384	12,710	16,578	10,668	11,974	5,061	13,696	19,330	32,538	24,683	20,329	16,897	16,169	2,981	7,723	10,972	13,464	17,838	11,327	21,298	22,663	18,624	146,815	85,057	0	440	592,328	592,310	0
Precinct 1141 - Vote By Mail	46	146	34	111	137	39	41	98	15	27	96	23	50	75	27	76	41	42	19	41	72	118	79	56	58	39	28	18	26	43	61	22	75	84	67	480	259	0	0	1,596	2,030	0
Precinct 1141 - Election Day	18	58	10	37	50	20	9	34	10	13	35	10	9	23	14	36	16	18	9	15	16	37	21	13	15	22	6	3	8	3	25	5	26	39	18	113	117	0	1	923	701	0
Precinct 1141	64	204	44	148	187	59	50	132	25	40	131	33	59	98	41	112	57	60	28	56	88	155	100	69	73	61	34	21	34	46	86	27	101	123	85	593	376	0	1	2,519	2,731	0
Precinct 1142 - Vote By Mail	35	111	26	93	95	40	33	83	15	25	87	20	43	62	25	63	19	40	12	32	41	100	73	44	43	27	12	13	22	17	50	20	62	81	40	430	215	0	1	1,392	1,604	0
Precinct 1142 - Election Day	12	55	7	38	44	23	11	37	4	11	36	7	17	35	8	32	9	16	4	7	19	40	28	16	18	14	9	2	8	13	25	7	33	33	20	105	86	0	0	506	698	0
Precinct 1142	47	166	33	131	139	63	44	120	19	36	123	27	60	97	33	95	28	56	16	39	60	140	101	60	61	41	21	15	30	30	75	27	95	114	60	535	301	0	1	1,898	2,302	0
Precinct 1143 - Vote By Mail	29	105	15	80	96	46	25	73	19	34	81	17	44	73	22	58	31	28	24	36	47	89	63	52	48	37	24	16	27	25	51	16	57	66	47	439	216	0	2	1,395	1,601	0
