Subtotal Area	JULIÁN CASTRO	MICHAEL A. ELLINGER	ELIZABETH WARREN	MARIANNE WILLIAMSON	ANDREW YANG	ROQUE "ROCKY" DE LA FUENTE III	JOHN K. DELANEY	AMY KLOBUCHAR	BERNIE SANDERS	JOE SESTAK	TOM STEYER	DEVAL PATRICK	MICHAEL BENNET	MICHAEL R. BLOOMBERG	MOSIE BOYD	CORY BOOKER	PETE BUTTIGIEG	JOSEPH R. BIDEN	TULSI GABBARD	MARK STEWART GREENSTEIN	NAKIA L. ANTHONY	DAPHNE DENISE BRADFORD	WILLIE FELIX CARTER	MICHAEL DENAME	JEFFREY H. DROBMAN	ROBERT JORDAN	HEATHER MARIE STAGG	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	134	53	53,865	95	2,647	51	60	3,579	75,349	35	1,639	30	115	26,997	19	108	10,238	55,480	886	85	0	0	0	0	0	0	0	503,899	233,123	0	269	1,329	231,525	60
All Precincts - Election Day	32	20	17,010	20	269	11	21	99	25,190	12	129	3	24	6,221	3	21	207	22,810	303	19	0	0	0	0	0	0	0	101,053	72,703	0	47	172	72,484	60
All Precincts - Vote By Mail	102	33	36,855	75	2,378	40	39	3,480	50,159	23	1,510	27	91	20,776	16	87	10,031	32,670	583	66	0	0	0	0	0	0	0	402,846	160,420	0	222	1,157	159,041	0
Precinct 1101 - Vote By Mail	0	0	33	0	6	0	0	5	62	0	1	0	0	23	0	0	11	24	0	0	0	0	0	0	0	0	0	448	168	0	0	3	165	0
Precinct 1101 - Election Day	0	0	9	0	0	0	0	0	20	1	0	0	0	5	0	0	1	19	0	0	0	0	0	0	0	0	0	114	55	0	0	0	55	0
Precinct 1101	0	0	42	0	6	0	0	5	82	1	1	0	0	28	0	0	12	43	0	0	0	0	0	0	0	0	0	562	223	0	0	3	220	0
Precinct 1102 - Vote By Mail	0	0	69	0	3	0	0	3	100	0	4	0	0	35	0	0	13	55	1	0	0	0	0	0	0	0	0	774	285	0	1	1	283	0
Precinct 1102 - Election Day	0	0	33	0	0	0	0	0	59	0	0	0	0	15	0	0	0	42	1	0	0	0	0	0	0	0	0	230	151	0	0	1	150	0
Precinct 1102	0	0	102	0	3	0	0	3	159	0	4	0	0	50	0	0	13	97	2	0	0	0	0	0	0	0	0	1,004	436	0	1	2	433	0
Precinct 1103 - Vote By Mail	2	0	63	0	6	0	2	1	95	0	1	0	0	36	0	0	14	62	3	0	0	0	0	0	0	0	0	749	290	0	0	5	285	0
Precinct 1103 - Election Day	1	0	31	0	0	0	0	0	55	0	1	0	0	8	0	0	0	35	0	0	0	0	0	0	0	0	0	222	131	0	0	0	131	0
Precinct 1103	3	0	94	0	6	0	2	1	150	0	2	0	0	44	0	0	14	97	3	0	0	0	0	0	0	0	0	971	421	0	0	5	416	0
Precinct 1104/1105 - Vote By Mail	2	0	50	0	4	0	1	3	119	0	0	0	0	34	0	0	10	44	2	0	0	0	0	0	0	0	0	751	271	0	0	2	269	0
Precinct 1104/1105 - Election Day	0	0	15	0	0	0	0	0	57	0	0	0	0	9	0	0	0	27	2	0	0	0	0	0	0	0	0	267	111	0	0	1	110	0
Precinct 1104/1105	2	0	65	0	4	0	1	3	176	0	0	0	0	43	0	0	10	71	4	0	0	0	0	0	0	0	0	1,018	382	0	0	3	379	0
Precinct 1106 - Vote By Mail	0	0	30	0	3	0	0	4	77	0	3	0	0	14	0	0	10	46	0	0	0	0	0	0	0	0	0	598	188	0	0	1	187	0
Precinct 1106 - Election Day	0	0	19	0	0	0	0	0	37	0	0	0	0	5	0	0	0	23	0	0	0	0	0	0	0	0	0	173	85	0	0	1	84	0
Precinct 1106	0	0	49	0	3	0	0	4	114	0	3	0	0	19	0	0	10	69	0	0	0	0	0	0	0	0	0	771	273	0	0	2	271	0
Precinct 1107 - Vote By Mail	0	0	34	0	7	0	0	8	84	0	4	0	0	21	0	0	4	58	4	0	0	0	0	0	0	0	0	612	226	0	1	1	224	0
Precinct 1107 - Election Day	0	0	16	0	0	0	0	0	26	0	0	0	0	3	0	0	0	26	0	0	0	0	0	0	0	0	0	139	71	0	0	0	71	0
Precinct 1107	0	0	50	0	7	0	0	8	110	0	4	0	0	24	0	0	4	84	4	0	0	0	0	0	0	0	0	751	297	0	1	1	295	0
Precinct 1108 - Vote By Mail	0	0	52	0	3	0	0	4	104	0	6	0	1	28	0	0	3	78	0	0	0	0	0	0	0	0	0	725	287	0	0	8	279	0
Precinct 1108 - Election Day	0	0	25	0	0	0	0	0	32	0	0	0	0	6	0	0	0	37	0	0	0	0	0	0	0	0	0	198	101	0	0	0	101	1
Precinct 1108	0	0	77	0	3	0	0	4	136	0	6	0	1	34	0	0	3	115	0	0	0	0	0	0	0	0	0	923	388	0	0	8	380	1
Precinct 1109 - Vote By Mail	1	0	40	0	8	0	2	2	83	0	1	0	0	28	0	0	14	29	1	0	0	0	0	0	0	0	0	653	213	0	0	4	209	0
Precinct 1109 - Election Day	0	0	16	0	2	0	0	1	34	1	0	0	0	6	0	0	0	30	1	0	0	0	0	0	0	0	0	169	91	0	0	0	91	0
Precinct 1109	1	0	56	0	10	0	2	3	117	1	1	0	0	34	0	0	14	59	2	0	0	0	0	0	0	0	0	822	304	0	0	4	300	0
Precinct 1111 - Vote By Mail	0	0	30	0	12	0	0	2	113	0	6	0	0	22	0	0	11	45	2	0	0	0	0	0	0	0	0	849	250	0	1	6	243	0
Precinct 1111 - Election Day	0	0	18	0	0	0	0	0	54	0	0	0	1	4	0	0	0	30	0	0	0	0	0	0	0	0	0	197	108	0	0	0	108	1
Precinct 1111	0	0	48	0	12	0	0	2	167	0	6	0	1	26	0	0	11	75	2	0	0	0	0	0	0	0	0	1,046	358	0	1	6	351	1
Precinct 1112 - Vote By Mail	0	0	25	0	5	0	0	0	101	0	6	0	0	25	0	0	7	31	0	0	0	0	0	0	0	0	0	643	202	0	0	2	200	0
Precinct 1112 - Election Day	0	0	17	0	0	0	1	0	28	0	0	0	0	7	0	0	0	15	0	0	0	0	0	0	0	0	0	159	68	0	0	0	68	0
Precinct 1112	0	0	42	0	5	0	1	0	129	0	6	0	0	32	0	0	7	46	0	0	0	0	0	0	0	0	0	802	270	0	0	2	268	0
Precinct 1113 - Vote By Mail	0	0	33	1	1	0	0	0	78	0	7	0	0	35	0	0	3	29	2	0	0	0	0	0	0	0	0	675	191	0	0	2	189	0
Precinct 1113 - Election Day	0	0	10	0	0	0	0	0	31	0	0	0	0	6	0	0	0	13	0	0	0	0	0	0	0	0	0	120	60	0	0	0	60	0
Precinct 1113	0	0	43	1	1	0	0	0	109	0	7	0	0	41	0	0	3	42	2	0	0	0	0	0	0	0	0	795	251	0	0	2	249	0
Precinct 1114 - Vote By Mail	1	1	37	0	2	0	0	5	106	0	0	0	0	30	0	0	8	33	0	0	0	0	0	0	0	0	0	769	231	0	1	7	223	0
Precinct 1114 - Election Day	0	0	14	0	0	0	0	0	42	0	1	0	0	9	0	0	0	22	0	0	0	0	0	0	0	0	0	222	88	0	0	0	88	0
Precinct 1114	1	1	51	0	2	0	0	5	148	0	1	0	0	39	0	0	8	55	0	0	0	0	0	0	0	0	0	991	319	0	1	7	311	0
Precinct 1115 - Vote By Mail	1	0	29	1	6	0	0	1	91	0	1	1	0	35	0	0	5	44	0	0	0	0	0	0	0	0	0	743	221	0	1	5	215	0
Precinct 1115 - Election Day	0	0	12	0	0	0	0	0	43	0	1	0	0	4	0	0	0	23	0	0	0	0	0	0	0	0	0	193	83	0	0	0	83	0
Precinct 1115	1	0	41	1	6	0	0	1	134	0	2	1	0	39	0	0	5	67	0	0	0	0	0	0	0	0	0	936	304	0	1	5	298	0
Precinct 1116 - Vote By Mail	0	0	23	0	10	0	0	1	92	0	3	0	0	27	0	0	7	58	3	0	0	0	0	0	0	0	0	715	227	0	0	3	224	0
Precinct 1116 - Election Day	0	0	20	0	0	0	1	0	49	0	0	0	0	7	0	0	0	32	0	0	0	0	0	0	0	0	0	216	110	0	1	0	109	0
Precinct 1116	0	0	43	0	10	0	1	1	141	0	3	0	0	34	0	0	7	90	3	0	0	0	0	0	0	0	0	931	337	0	1	3	333	0
Precinct 1117 - Vote By Mail	0	0	25	0	8	0	0	5	95	1	0	0	0	18	0	1	5	40	0	0	0	0	0	0	0	0	0	665	200	0	0	2	198	0
Precinct 1117 - Election Day	0	0	12	0	0	0	0	0	31	0	0	0	0	7	0	0	0	19	0	0	0	0	0	0	0	0	0	181	69	0	0	0	69	0
Precinct 1117	0	0	37	0	8	0	0	5	126	1	0	0	0	25	0	1	5	59	0	0	0	0	0	0	0	0	0	846	269	0	0	2	267	0
Precinct 1118 - Vote By Mail	0	0	57	1	2	0	0	2	115	0	8	0	0	21	0	1	8	53	1	0	0	0	0	0	0	0	0	846	271	0	0	2	269	0
Precinct 1118 - Election Day	0	0	11	0	0	0	0	0	53	0	0	0	0	8	0	1	0	24	0	0	0	0	0	0	0	0	0	219	97	0	0	0	97	0
Precinct 1118	0	0	68	1	2	0	0	2	168	0	8	0	0	29	0	2	8	77	1	0	0	0	0	0	0	0	0	1,065	368	0	0	2	366	0
Precinct 1119 - Vote By Mail	0	0	41	0	4	0	0	2	86	0	1	0	0	37	0	0	7	50	0	0	0	0	0	0	0	0	0	659	230	0	1	1	228	0
Precinct 1119 - Election Day	0	0	13	0	0	0	0	0	42	0	0	0	0	1	0	0	0	14	0	0	0	0	0	0	0	0	0	138	70	0	0	0	70	0
Precinct 1119	0	0	54	0	4	0	0	2	128	0	1	0	0	38	0	0	7	64	0	0	0	0	0	0	0	0	0	797	300	0	1	1	298	0
Precinct 1121 - Vote By Mail	0	0	21	0	4	0	0	2	83	0	5	0	0	29	0	0	5	39	0	1	0	0	0	0	0	0	0	556	192	0	0	3	189	0
Precinct 1121 - Election Day	0	0	9	0	0	0	0	0	30	0	0	0	0	11	0	0	1	21	0	0	0	0	0	0	0	0	0	149	72	0	0	0	72	0
Precinct 1121	0	0	30	0	4	0	0	2	113	0	5	0	0	40	0	0	6	60	0	1	0	0	0	0	0	0	0	705	264	0	0	3	261	0
Precinct 1122 - Vote By Mail	0	0	17	0	11	0	0	2	60	0	5	0	0	27	0	0	5	35	1	1	0	0	0	0	0	0	0	519	165	0	0	1	164	0
Precinct 1122 - Election Day	0	0	9	0	0	0	0	0	33	0	0	0	0	4	0	0	1	13	0	0	0	0	0	0	0	0	0	118	61	0	0	1	60	0
Precinct 1122	0	0	26	0	11	0	0	2	93	0	5	0	0	31	0	0	6	48	1	1	0	0	0	0	0	0	0	637	226	0	0	2	224	0
Precinct 1123 - Vote By Mail	0	0	21	0	7	0	1	1	86	1	8	0	0	18	0	0	3	39	0	0	0	0	0	0	0	0	0	730	187	0	1	1	185	0
Precinct 1123 - Election Day	1	0	15	0	1	0	0	0	40	0	0	0	0	2	0	0	0	25	0	0	0	0	0	0	0	0	0	208	84	0	0	0	84	0
Precinct 1123	1	0	36	0	8	0	1	1	126	1	8	0	0	20	0	0	3	64	0	0	0	0	0	0	0	0	0	938	271	0	1	1	269	0
Precinct 1124 - Vote By Mail	0	0	19	0	10	0	1	1	72	0	4	0	5	28	0	0	6	33	1	1	0	0	0	0	0	0	0	630	182	0	1	0	181	0
Precinct 1124 - Election Day	0	0	7	0	0	0	0	0	34	0	0	0	0	9	0	1	0	10	0	0	0	0	0	0	0	0	0	199	61	0	0	0	61	0
Precinct 1124	0	0	26	0	10	0	1	1	106	0	4	0	5	37	0	1	6	43	1	1	0	0	0	0	0	0	0	829	243	0	1	0	242	0
Precinct 1125 - Vote By Mail	0	0	23	0	8	0	0	3	123	0	4	0	0	37	0	0	11	53	4	0	0	0	0	0	0	0	0	919	269	0	0	3	266	0
Precinct 1125 - Election Day	0	1	7	0	0	0	0	0	27	0	0	0	0	7	0	0	0	18	1	0	0	0	0	0	0	0	0	178	62	0	0	1	61	0
Precinct 1125	0	1	30	0	8	0	0	3	150	0	4	0	0	44	0	0	11	71	5	0	0	0	0	0	0	0	0	1,097	331	0	0	4	327	0
