Subtotal Area	ROBERT ARDINI	JOE WALSH	BILL WELD	ROQUE "ROCKY" DE LA FUENTE	MATTHEW JOHN MATERN	ZOLTAN G. ISTVAN	DONALD J. TRUMP	DENIS C. GRASSKA	ROBERT LEE MANNING JR.	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	119	636	1,239	306	258	113	11,355	0	0	503,899	15,831	0	6	1,691	14,134	108
All Precincts - Election Day	21	140	194	80	64	21	2,475	0	0	101,053	3,285	0	1	181	3,103	108
All Precincts - Vote By Mail	98	496	1,045	226	194	92	8,880	0	0	402,846	12,546	0	5	1,510	11,031	0
Precinct 1101 - Vote By Mail	0	0	1	1	1	0	9	0	0	448	13	0	0	1	12	0
Precinct 1101 - Election Day	0	1	0	0	0	0	2	0	0	114	4	0	0	0	4	1
Precinct 1101	0	1	1	1	1	0	11	0	0	562	17	0	0	1	16	1
Precinct 1102 - Vote By Mail	0	0	3	0	1	0	28	0	0	774	32	0	0	0	32	0
Precinct 1102 - Election Day	0	0	0	0	0	0	3	0	0	230	4	0	0	1	3	0
Precinct 1102	0	0	3	0	1	0	31	0	0	1,004	36	0	0	1	35	0
Precinct 1103 - Vote By Mail	1	3	0	1	0	2	25	0	0	749	34	0	0	2	32	0
Precinct 1103 - Election Day	0	1	1	0	0	0	3	0	0	222	6	0	0	1	5	0
Precinct 1103	1	4	1	1	0	2	28	0	0	971	40	0	0	3	37	0
Precinct 1104/1105 - Vote By Mail	2	0	0	0	0	0	12	0	0	751	14	0	0	0	14	0
Precinct 1104/1105 - Election Day	0	0	0	0	2	0	3	0	0	267	5	0	0	0	5	0
Precinct 1104/1105	2	0	0	0	2	0	15	0	0	1,018	19	0	0	0	19	0
Precinct 1106 - Vote By Mail	0	0	2	1	0	0	13	0	0	598	20	0	0	4	16	0
Precinct 1106 - Election Day	0	1	1	0	0	0	6	0	0	173	9	0	0	1	8	0
Precinct 1106	0	1	3	1	0	0	19	0	0	771	29	0	0	5	24	0
Precinct 1107 - Vote By Mail	0	0	0	0	0	0	12	0	0	612	15	0	0	3	12	0
Precinct 1107 - Election Day	0	0	0	0	0	0	1	0	0	139	1	0	0	0	1	0
Precinct 1107	0	0	0	0	0	0	13	0	0	751	16	0	0	3	13	0
Precinct 1108 - Vote By Mail	0	0	0	1	0	1	11	0	0	725	15	0	0	2	13	0
Precinct 1108 - Election Day	0	1	0	0	0	0	1	0	0	198	3	0	0	1	2	0
Precinct 1108	0	1	0	1	0	1	12	0	0	923	18	0	0	3	15	0
Precinct 1109 - Vote By Mail	1	0	2	1	0	0	11	0	0	653	17	0	0	2	15	0
Precinct 1109 - Election Day	0	0	0	0	0	0	3	0	0	169	3	0	0	0	3	0
Precinct 1109	1	0	2	1	0	0	14	0	0	822	20	0	0	2	18	0
Precinct 1111 - Vote By Mail	0	0	0	0	0	0	22	0	0	849	24	0	0	2	22	0
Precinct 1111 - Election Day	0	1	0	0	0	0	5	0	0	197	7	0	0	0	7	1
Precinct 1111	0	1	0	0	0	0	27	0	0	1,046	31	0	0	2	29	1
Precinct 1112 - Vote By Mail	0	1	0	0	0	0	12	0	0	643	15	0	0	2	13	0
Precinct 1112 - Election Day	0	0	0	1	0	1	1	0	0	159	3	0	0	0	3	0
Precinct 1112	0	1	0	1	0	1	13	0	0	802	18	0	0	2	16	0
Precinct 1113 - Vote By Mail	0	0	2	0	0	0	22	0	0	675	27	0	0	3	24	0
Precinct 1113 - Election Day	0	0	0	0	0	0	3	0	0	120	3	0	0	0	3	0
Precinct 1113	0	0	2	0	0	0	25	0	0	795	30	0	0	3	27	0
Precinct 1114 - Vote By Mail	0	0	3	1	0	0	12	0	0	769	17	0	0	1	16	0
