Subtotal Area	PHIL COLLINS	ROQUE "ROCKY" DE LA FUENTE	CHARLES KRAUT	J.R. MYERS	DON BLANKENSHIP	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	343	199	142	188	143	503,899	2,990	0	1	1,832	1,157	142
All Precincts - Election Day	120	68	45	69	46	101,024	820	0	0	330	490	142
All Precincts - Vote By Mail	223	131	97	119	97	402,875	2,170	0	1	1,502	667	0
Precinct 1101 - Vote By Mail	0	0	0	0	0	448	1	0	0	1	0	0
Precinct 1101 - Election Day	0	0	0	0	0	114	0	0	0	0	0	0
Precinct 1101	0	0	0	0	0	562	1	0	0	1	0	0
Precinct 1102 - Vote By Mail	0	0	1	1	0	774	4	0	0	2	2	0
Precinct 1102 - Election Day	0	0	1	0	0	230	3	0	0	1	2	1
Precinct 1102	0	0	2	1	0	1,004	7	0	0	3	4	1
Precinct 1103 - Vote By Mail	0	0	0	0	1	749	2	0	0	1	1	0
Precinct 1103 - Election Day	0	0	1	0	0	222	2	0	0	1	1	0
Precinct 1103	0	0	1	0	1	971	4	0	0	2	2	0
Precinct 1104/1105 - Vote By Mail	0	0	1	0	0	751	5	0	0	4	1	0
Precinct 1104/1105 - Election Day	0	1	0	1	0	267	2	0	0	0	2	0
Precinct 1104/1105	0	1	1	1	0	1,018	7	0	0	4	3	0
Precinct 1106 - Vote By Mail	1	0	0	0	0	598	5	0	0	4	1	0
Precinct 1106 - Election Day	0	0	0	0	0	173	1	0	0	1	0	0
Precinct 1106	1	0	0	0	0	771	6	0	0	5	1	0
Precinct 1107 - Vote By Mail	0	0	0	0	0	612	2	0	0	2	0	0
Precinct 1107 - Election Day	0	0	0	0	0	139	0	0	0	0	0	0
Precinct 1107	0	0	0	0	0	751	2	0	0	2	0	0
Precinct 1108 - Vote By Mail	1	0	0	0	0	725	6	0	0	5	1	0
Precinct 1108 - Election Day	1	0	1	0	0	198	3	0	0	1	2	0
Precinct 1108	2	0	1	0	0	923	9	0	0	6	3	0
